[2023-02-20 13:47:10.116][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 영덕중학교 발견 
[2023-02-20 13:47:10.117][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:67] - 석우중학교 발견 
[2023-02-20 13:47:10.117][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 양덕여자중학교 발견 
[2023-02-20 13:47:10.117][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 문산중학교 발견 
[2023-02-20 13:47:10.117][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 이충고등학교 발견 
[2023-02-20 13:47:10.118][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:67] - 오금중학교 발견 
[2023-02-20 13:47:10.119][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 양덕여자중학교 발견 
[2023-02-20 13:47:10.119][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 중앙초등학교 발견 
[2023-02-20 13:47:10.120][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:67] - 양청중학교 발견 
[2023-02-20 13:47:10.121][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:67] - 안성여자중학교 발견 
[2023-02-20 13:47:10.121][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 월봉초등학교 발견 
[2023-02-20 13:47:10.122][WARN ] --- [main] org.example.SchoolFinder[findValidSchool:73] - (WARNING)알수없는 라인

"영동영동인터넷고저는버스가하루에몇대다니지않는곳에서살아서짜장면시켜먹그면다뿔어요멀쩡한짜장면친구들과나눠먹고싶습니닷"

 
[2023-02-20 13:47:10.122][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 세현고등학교 발견 
[2023-02-20 13:47:10.123][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:67] - 양청중학교 발견 
[2023-02-20 13:47:10.124][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 난우중학교 발견 
[2023-02-20 13:47:10.124][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 함지고등학교 발견 
[2023-02-20 13:47:10.125][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 하양여자중학교 발견 
[2023-02-20 13:47:10.125][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 율현중학교 발견 
[2023-02-20 13:47:10.125][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 수월중학교 발견 
